pillar,subsection_ref,title,score
,,SECTION A: GENERAL INFORMATION,
A,A.1,Information On Asset/Entity To Be Assessed,
A,A.2,Further Entities Involved,
A,A.3,High-level asset type classification,
A,A.4,Risk Type Classification,
A,A.5,Credit Facility Details,
,,PILLAR I: ASSET & COLLATERAL ASSESSMENT,
,,THE ASSET,
1,1.A,Asset Composition & Eligibility,4
1,1.B,Asset Cashflow Structure,5
1,1.C,Asset Liquidity Analysis,5
1,1.D,Asset: Basel III-Aligned Risk Weight Self-Classification,5
1,1.E,Asset Valuation Sources & Infrastructure,5
1,1.F,"Asset pricing, valuation and risk assessment proxies",
,,THE COLLATERAL,
1,1.G,Collateral Issuer Analysis,5
1,1.H,Collateral Asset Valuation & Loss Analysis,3
1,1.J,Collateral Liquidity Analysis,5
1,1.K,Collateral: Basel III-Aligned Risk Weight Self-Classification,2
1,1.L,Collateral Valuation Sources & Infrastructure,5
1,1.M,"Collateral pricing, valuation and risk assessment proxies",
,,PILLAR II: ASSET CONTROL & SAFEKEEPING,
2,2.A,Recoverability & Custody,3
2,2.B,SPV & Bankruptcy Remoteness/Funds Segregation,5
2,2.C,Lien Perfection & Enforcement,4
2,2.D,Legal Framework,5
2,2.E,Representations & Warranties,5
2,2.F,Cash Control Infrastructure,4
,,PILLAR III: COUNTERPARTY ASSESSMENT,
3,3.A,Financial Strength & Capitalization,2
3,3.B,Regulatory & Licensing,5
3,3.C,Operational Track Record,5
3,3.D,Reputation & Leadership,5
3,3.E,"Insurance, Guarantees & Alignment",3
,,PILLAR IV: TRANSACTION STRUCTURE & MECHANICS,
4,4.A,Transaction Structure Snapshot,5
4,4.B,Credit Enhancement & Loss Absorption,5
4,4.C,Surveillance Triggers & Structural Response,5
4,4.D,Waterfall & Payment Priority,
4,4.E,Facility Terms & Optionality,4
4,4.F,"Refinance, Takeout & Run-Off",4
,,PILLAR V: MANAGEMENT & OPERATIONS,
5,5.A,Entity & Process Scoping,5
5,5.B,Transaction Data & Systems Integrity,2
5,5.C,Underwriting & Origination Process,5
5,5.D,Servicing & Entity Financial Health,5
5,5.E,Ongoing Monitoring & Surveillance,4
5,5.F,Regulatory Compliance,5
,,SECTION F: OVERALL ASSESSMENT & DECLARATIONS,
F,F.1,Ongoing Monitoring Commitments,
F,F.2,Review Triggers,
F,F.3,Declarations & Attestations,
F,F.4,Authorized Signatures,
